iter	Passed	Remaining
461	782	911
462	783	909
463	785	907
464	786	904
465	787	902
466	788	900
467	789	897
468	791	895
469	792	893
470	793	891
471	794	889
472	796	887
473	797	885
474	798	882
475	800	880
476	801	878
477	802	876
478	803	874
479	804	871
480	805	869
481	807	867
482	808	865
483	809	863
484	811	861
485	812	859
486	813	857
487	814	855
488	816	852
489	817	850
490	818	848
491	819	846
492	820	843
493	821	841
494	823	839
495	824	837
496	825	835
497	827	833
498	828	831
499	829	829
500	830	827
501	832	825
502	833	823
503	834	821
504	835	819
505	837	817
506	838	815
507	839	813
508	841	811
509	842	809
510	844	807
511	845	805
512	846	803
513	847	801
514	849	799
515	850	798
516	852	796
517	853	794
518	854	792
519	856	790
520	857	788
521	858	786
522	860	784
523	861	782
524	862	780
525	864	778
526	865	776
527	866	775
528	868	773
529	869	771
530	871	769
531	872	767
532	873	765
533	874	763
534	876	761
535	877	759
536	878	757
537	880	755
538	881	753
539	882	751
540	884	750
541	885	748
542	886	746
543	888	744
544	889	742
545	890	740
546	891	738
547	893	736
548	894	735
549	896	733
550	897	731
551	898	729
552	899	727
553	901	725
554	902	723
555	903	721
556	905	719
557	906	717
558	907	716
559	909	714
560	910	712
561	911	710
562	912	708
563	914	706
564	915	705
565	917	703
566	918	701
567	919	699
568	921	697
569	922	695
570	923	694
571	925	692
572	926	690
573	927	688
574	929	686
575	930	685
576	932	683
577	933	681
578	934	679
579	936	678
580	937	676
581	938	674
582	940	672
583	941	670
584	942	668
585	944	667
586	945	665
587	946	663
588	948	661
589	949	660
590	951	658
591	952	656
592	953	654
593	955	652
594	956	651
595	957	649
596	959	647
597	960	645
598	962	644
599	963	642
600	964	640
601	966	638
602	967	637
603	968	635
604	970	633
605	971	631
606	972	629
607	974	628
608	975	626
609	977	624
610	978	623
611	980	621
612	981	619
613	982	617
614	983	615
615	985	614
616	986	612
617	987	610
618	989	609
619	991	607
620	992	605
621	994	604
622	995	602
623	997	600
624	998	599
625	1000	597
626	1001	595
627	1002	594
628	1004	592
629	1005	590
630	1006	588
631	1008	587
632	1009	585
633	1010	583
634	1012	581
635	1013	580
636	1014	578
637	1016	576
638	1017	574
639	1019	573
640	1020	571
641	1021	569
642	1022	567
643	1023	566
644	1025	564
645	1026	562
646	1027	560
647	1029	559
648	1030	557
649	1031	555
650	1033	553
651	1034	552
652	1035	550
653	1037	548
654	1038	546
655	1039	545
656	1040	543
657	1042	541
658	1043	540
659	1045	538
660	1046	536
661	1047	534
662	1049	533
663	1050	531
664	1051	529
665	1053	528
666	1054	526
667	1055	524
668	1056	522
669	1058	521
670	1059	519
671	1061	517
672	1062	516
673	1064	514
674	1065	512
675	1066	511
676	1068	509
677	1069	507
678	1070	506
679	1072	504
680	1073	502
681	1074	501
682	1076	499
683	1077	497
684	1078	496
685	1080	494
686	1081	492
687	1082	491
688	1083	489
689	1085	487
690	1087	486
691	1088	484
692	1089	482
693	1090	480
694	1092	479
695	1093	477
696	1094	475
697	1096	474
698	1097	472
699	1099	471
700	1100	469
701	1102	467
702	1103	466
703	1105	464
704	1106	462
705	1107	461
706	1108	459
707	1109	457
708	1111	456
709	1112	454
710	1114	452
711	1115	451
712	1117	449
713	1118	448
714	1119	446
715	1121	444
716	1122	443
717	1123	441
